CountyName,FIPSNumber,CountyNumber,PublicHealthRegion,HealthServiceRegion,MetropolitanStatisticalArea_MSA,MetropolitanDivisions,MetroArea,NCHSUrbanRuralClassification_2006,NCHSUrbanRuralClassification_2013
Anderson,001,1,4,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan
Andrews,003,2,9,9/10,--,--,Non-Metro,Micropolitan,Micropolitan
Angelina,005,3,5,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan
Aransas,007,4,11,11,Corpus Christi,--,Metro,Medium Metro,Medium Metro
Archer,009,5,2,2/3,Wichita Falls,--,Metro,Small Metro,Small Metro
Armstrong,011,6,1,1,Amarillo,--,Metro,Small Metro,Medium Metro
Atascosa,013,7,8,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro
Austin,015,8,6,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro
Bailey,017,9,1,1,--,--,Non-Metro,Noncore,Non-core
Bandera,019,10,8,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro
Bastrop,021,11,7,7,Austin-Round Rock,--,Metro,Large Fringe Metro,Large Fringe Metro
Baylor,023,12,2,2/3,--,--,Non-Metro,Noncore,Non-core
Bee,025,13,11,11,--,--,Non-Metro,Micropolitan,Micropolitan
Bell,027,14,7,7,Killeen-Temple,--,Metro,Medium Metro,Medium Metro
Bexar,029,15,8,8,San Antonio-New Braunfels,--,Metro,Large Central Metro,Large Central Metro
Blanco,031,16,7,7,--,--,Non-Metro,Noncore,Non-core
Borden,033,17,9,9/10,--,--,Non-Metro,Noncore,Non-core
Bosque,035,18,7,7,--,--,Non-Metro,Noncore,Non-core
Bowie,037,19,4,4/5N,Texarkana,--,Metro,Small Metro,Small Metro
Brazoria,039,20,6,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro
Brazos,041,21,7,7,College Station-Bryan,--,Metro,Small Metro,Small Metro
Brewster,043,22,10,9/10,--,--,Non-Metro,Noncore,Non-core
Briscoe,045,23,1,1,--,--,Non-Metro,Noncore,Non-core
Brooks,047,24,11,11,--,--,Non-Metro,Noncore,Non-core
